label,category,source,source_id
Brassiere,object,openimages_boxable_v7,/m/01gmv2
Bread,object,openimages_boxable_v7,/m/09728
Briefcase,object,openimages_boxable_v7,/m/0584n8
Broccoli,object,openimages_boxable_v7,/m/0hkxq
Bronze sculpture,object,openimages_boxable_v7,/m/01yx86
Brown bear,object,openimages_boxable_v7,/m/01dxs
Building,object,openimages_boxable_v7,/m/0cgh4
Bull,object,openimages_boxable_v7,/m/0cnyhnx
Burrito,object,openimages_boxable_v7,/m/01j3zr
Bus,object,openimages_boxable_v7,/m/01bjv
Bust,object,openimages_boxable_v7,/m/04yqq2
Butterfly,object,openimages_boxable_v7,/m/0cyf8
Cabbage,object,openimages_boxable_v7,/m/0fbw6
Cabinetry,object,openimages_boxable_v7,/m/01s105
Cake,object,openimages_boxable_v7,/m/0fszt
Cake stand,object,openimages_boxable_v7,/m/0h8n6ft
Calculator,object,openimages_boxable_v7,/m/024d2
Camel,object,openimages_boxable_v7,/m/01x_v
Camera,object,openimages_boxable_v7,/m/0dv5r
Can opener,object,openimages_boxable_v7,/m/02mqfb
Canary,object,openimages_boxable_v7,/m/0ccs93
Candle,object,openimages_boxable_v7,/m/0c06p
Candy,object,openimages_boxable_v7,/m/0gm28
Cannon,object,openimages_boxable_v7,/m/020kz
Canoe,object,openimages_boxable_v7,/m/0ph39
Cantaloupe,object,openimages_boxable_v7,/m/0kpt_
Car,object,openimages_boxable_v7,/m/0k4j
Carnivore,object,openimages_boxable_v7,/m/01lrl
Carrot,object,openimages_boxable_v7,/m/0fj52s
Cart,object,openimages_boxable_v7,/m/018p4k
Cassette deck,object,openimages_boxable_v7,/m/01432t
Castle,object,openimages_boxable_v7,/m/0d5gx
Cat,object,openimages_boxable_v7,/m/01yrx
Cat furniture,object,openimages_boxable_v7,/m/0h8nm9j
Caterpillar,object,openimages_boxable_v7,/m/0cydv
Cattle,object,openimages_boxable_v7,/m/01xq0k1
Ceiling fan,object,openimages_boxable_v7,/m/03ldnb
Cello,object,openimages_boxable_v7,/m/01xqw
Centipede,object,openimages_boxable_v7,/m/019h78
Chainsaw,object,openimages_boxable_v7,/m/01j4z9
Chair,object,openimages_boxable_v7,/m/01mzpv
Cheese,object,openimages_boxable_v7,/m/01nkt
Cheetah,object,openimages_boxable_v7,/m/0cd4d
Chest of drawers,object,openimages_boxable_v7,/m/05kyg_
Chicken,object,openimages_boxable_v7,/m/09b5t
Chime,object,openimages_boxable_v7,/m/0f8s22
Chisel,object,openimages_boxable_v7,/m/0_dqb
Chopsticks,object,openimages_boxable_v7,/m/01_5g
Christmas tree,object,openimages_boxable_v7,/m/025nd
Clock,object,openimages_boxable_v7,/m/01x3z
Closet,object,openimages_boxable_v7,/m/0d4w1
Clothing,object,openimages_boxable_v7,/m/09j2d
Coat,object,openimages_boxable_v7,/m/01xygc
Cocktail,object,openimages_boxable_v7,/m/024g6
Cocktail shaker,object,openimages_boxable_v7,/m/0440zs
Coconut,object,openimages_boxable_v7,/m/0djtd
Coffee (drink),object,openimages_boxable_v7,/m/02vqfm
Coffee cup,object,openimages_boxable_v7,/m/02p5f1q
Coffee table,object,openimages_boxable_v7,/m/078n6m
Coffeemaker,object,openimages_boxable_v7,/m/07xyvk
Coin,object,openimages_boxable_v7,/m/0242l
Common fig,object,openimages_boxable_v7,/m/043nyj
Common sunflower,object,openimages_boxable_v7,/m/0ftb8
Computer keyboard,object,openimages_boxable_v7,/m/01m2v
Computer monitor,object,openimages_boxable_v7,/m/02522
Computer mouse,object,openimages_boxable_v7,/m/020lf
Container,object,openimages_boxable_v7,/m/011q46kg
Convenience store,object,openimages_boxable_v7,/m/0crjs
Cookie,object,openimages_boxable_v7,/m/021mn
Cooking spray,object,openimages_boxable_v7,/m/07mcwg
Corded phone,object,openimages_boxable_v7,/m/0h8lkj8
Cosmetics,object,openimages_boxable_v7,/m/014trl
Couch,object,openimages_boxable_v7,/m/02crq1
Countertop,object,openimages_boxable_v7,/m/0b3fp9
Cowboy hat,object,openimages_boxable_v7,/m/025rp__
Crab,object,openimages_boxable_v7,/m/0n28_
Cream,object,openimages_boxable_v7,/m/08p92x
Cricket ball,object,openimages_boxable_v7,/m/02ctlc
Crocodile,object,openimages_boxable_v7,/m/09f_2
Croissant,object,openimages_boxable_v7,/m/015wgc
Crown,object,openimages_boxable_v7,/m/0nl46
Crutch,object,openimages_boxable_v7,/m/05441v
Cucumber,object,openimages_boxable_v7,/m/015x4r
Cupboard,object,openimages_boxable_v7,/m/0642b4
Curtain,object,openimages_boxable_v7,/m/03rszm
Cutting board,object,openimages_boxable_v7,/m/02pdsw
Dagger,object,openimages_boxable_v7,/m/02gzp
Dairy Product,object,openimages_boxable_v7,/m/0284d
Deer,object,openimages_boxable_v7,/m/09kx5
Desk,object,openimages_boxable_v7,/m/01y9k5
Dessert,object,openimages_boxable_v7,/m/0270h
Diaper,object,openimages_boxable_v7,/m/0f571
Dice,object,openimages_boxable_v7,/m/029b3
Digital clock,object,openimages_boxable_v7,/m/06_72j
Dinosaur,object,openimages_boxable_v7,/m/029tx
Dishwasher,object,openimages_boxable_v7,/m/0ky7b
Dog,object,openimages_boxable_v7,/m/0bt9lr
Dog bed,object,openimages_boxable_v7,/m/0h8n6f9
Doll,object,openimages_boxable_v7,/m/0167gd
Dolphin,object,openimages_boxable_v7,/m/02hj4
Door,object,openimages_boxable_v7,/m/02dgv
Door handle,object,openimages_boxable_v7,/m/03c7gz
Doughnut,object,openimages_boxable_v7,/m/0jy4k
Dragonfly,object,openimages_boxable_v7,/m/0ft9s
Drawer,object,openimages_boxable_v7,/m/0fqfqc
Dress,object,openimages_boxable_v7,/m/01d40f
Drill (Tool),object,openimages_boxable_v7,/m/01d380
Drink,object,openimages_boxable_v7,/m/0271t
Drinking straw,object,openimages_boxable_v7,/m/03v5tg
Drum,object,openimages_boxable_v7,/m/026t6
Duck,object,openimages_boxable_v7,/m/09ddx
Dumbbell,object,openimages_boxable_v7,/m/04h8sr
Eagle,object,openimages_boxable_v7,/m/09csl
Earring,object,openimages_boxable_v7,/m/01r546
Egg,object,openimages_boxable_v7,/m/033cnk
Elephant,object,openimages_boxable_v7,/m/0bwd_0j
Envelope,object,openimages_boxable_v7,/m/0frqm
Eraser,object,openimages_boxable_v7,/m/02fh7f
Face powder,object,openimages_boxable_v7,/m/02xb7qb
Facial tissue holder,object,openimages_boxable_v7,/m/0h8nsvg
Falcon,object,openimages_boxable_v7,/m/0f6wt
Fashion accessory,object,openimages_boxable_v7,/m/0463sg
Fast food,object,openimages_boxable_v7,/m/01_bhs
Fax,object,openimages_boxable_v7,/m/02xqq
Fedora,object,openimages_boxable_v7,/m/02fq_6
Filing cabinet,object,openimages_boxable_v7,/m/047j0r
Fire hydrant,object,openimages_boxable_v7,/m/01pns0
Fireplace,object,openimages_boxable_v7,/m/03tw93
Fish,object,openimages_boxable_v7,/m/0ch_cf
Fixed-wing aircraft,object,openimages_boxable_v7,/m/0cmf2
Flag,object,openimages_boxable_v7,/m/03120
Flashlight,object,openimages_boxable_v7,/m/01kb5b
Flower,object,openimages_boxable_v7,/m/0c9ph5
Flowerpot,object,openimages_boxable_v7,/m/0fm3zh
Flute,object,openimages_boxable_v7,/m/0l14j_
Flying disc,object,openimages_boxable_v7,/m/02wmf
Food,object,openimages_boxable_v7,/m/02wbm
Food processor,object,openimages_boxable_v7,/m/03y6mg
Football,object,openimages_boxable_v7,/m/01226z
Football helmet,object,openimages_boxable_v7,/m/07qxg_
Footwear,object,openimages_boxable_v7,/m/09j5n
Fork,object,openimages_boxable_v7,/m/0dt3t
Fountain,object,openimages_boxable_v7,/m/0220r2
Fox,object,openimages_boxable_v7,/m/0306r
French fries,object,openimages_boxable_v7,/m/02y6n
French horn,object,openimages_boxable_v7,/m/0319l
Frog,object,openimages_boxable_v7,/m/09ld4
Fruit,object,openimages_boxable_v7,/m/02xwb
Frying pan,object,openimages_boxable_v7,/m/04v6l4
Furniture,object,openimages_boxable_v7,/m/0c_jw
Garden Asparagus,object,openimages_boxable_v7,/m/0cjs7
Gas stove,object,openimages_boxable_v7,/m/02wv84t
Giraffe,object,openimages_boxable_v7,/m/03bk1
Girl,object,openimages_boxable_v7,/m/05r655
Glasses,object,openimages_boxable_v7,/m/0jyfg
Glove,object,openimages_boxable_v7,/m/0174n1
Goat,object,openimages_boxable_v7,/m/03fwl
Goggles,object,openimages_boxable_v7,/m/02_n6y
Goldfish,object,openimages_boxable_v7,/m/03fj2
Golf ball,object,openimages_boxable_v7,/m/044r5d
Golf cart,object,openimages_boxable_v7,/m/0323sq
Gondola,object,openimages_boxable_v7,/m/02068x
Goose,object,openimages_boxable_v7,/m/0dbvp
Grape,object,openimages_boxable_v7,/m/0388q
Grapefruit,object,openimages_boxable_v7,/m/0hqkz
Grinder,object,openimages_boxable_v7,/m/0h8jyh6
Guacamole,object,openimages_boxable_v7,/m/02g30s
Guitar,object,openimages_boxable_v7,/m/0342h
Hair dryer,object,openimages_boxable_v7,/m/03wvsk
Hair spray,object,openimages_boxable_v7,/m/05w9t9
Hamburger,object,openimages_boxable_v7,/m/0cdn1
Hammer,object,openimages_boxable_v7,/m/03l9g
Hamster,object,openimages_boxable_v7,/m/03qrc
Hand dryer,object,openimages_boxable_v7,/m/0c3m8g
Handbag,object,openimages_boxable_v7,/m/080hkjn
Handgun,object,openimages_boxable_v7,/m/0gxl3
Harbor seal,object,openimages_boxable_v7,/m/02l8p9
Harmonica,object,openimages_boxable_v7,/m/03qjg
Harp,object,openimages_boxable_v7,/m/03m5k
Harpsichord,object,openimages_boxable_v7,/m/03q5t
Hat,object,openimages_boxable_v7,/m/02dl1y
Headphones,object,openimages_boxable_v7,/m/01b7fy
Heater,object,openimages_boxable_v7,/m/03qhv5
Hedgehog,object,openimages_boxable_v7,/m/0cl4p
Helicopter,object,openimages_boxable_v7,/m/09ct_
Helmet,object,openimages_boxable_v7,/m/0zvk5
High heels,object,openimages_boxable_v7,/m/06k2mb
Hiking equipment,object,openimages_boxable_v7,/m/0268lbt
Hippopotamus,object,openimages_boxable_v7,/m/09f20
Home appliance,object,openimages_boxable_v7,/m/019dx1
Honeycomb,object,openimages_boxable_v7,/m/0fz0h
Horizontal bar,object,openimages_boxable_v7,/m/0cqn2
Horse,object,openimages_boxable_v7,/m/03k3r
Hot dog,object,openimages_boxable_v7,/m/01b9xk
House,object,openimages_boxable_v7,/m/03jm5
Houseplant,object,openimages_boxable_v7,/m/03fp41
Human arm,object,openimages_boxable_v7,/m/0dzf4
Human body,object,openimages_boxable_v7,/m/02p0tk3
Human ear,object,openimages_boxable_v7,/m/039xj_
Human eye,object,openimages_boxable_v7,/m/014sv8
Human face,object,openimages_boxable_v7,/m/0dzct
Human foot,object,openimages_boxable_v7,/m/031n1
Human hair,object,openimages_boxable_v7,/m/03q69
Human hand,object,openimages_boxable_v7,/m/0k65p
Human head,object,openimages_boxable_v7,/m/04hgtk
Human leg,object,openimages_boxable_v7,/m/035r7c
Human mouth,object,openimages_boxable_v7,/m/0283dt1
Human nose,object,openimages_boxable_v7,/m/0k0pj
Humidifier,object,openimages_boxable_v7,/m/04lvq_
Ice cream,object,openimages_boxable_v7,/m/0cxn2
Indoor rower,object,openimages_boxable_v7,/m/03wym
Infant bed,object,openimages_boxable_v7,/m/061hd_
Insect,object,openimages_boxable_v7,/m/03vt0
Invertebrate,object,openimages_boxable_v7,/m/03xxp
Ipod,object,openimages_boxable_v7,/m/0mcx2
Isopod,object,openimages_boxable_v7,/m/035vxb
Jacket,object,openimages_boxable_v7,/m/032b3c
Jacuzzi,object,openimages_boxable_v7,/m/065h6l
Jaguar (Animal),object,openimages_boxable_v7,/m/0449p
Jeans,object,openimages_boxable_v7,/m/0fly7
Jellyfish,object,openimages_boxable_v7,/m/0d8zb
Jet ski,object,openimages_boxable_v7,/m/01xs3r
Jug,object,openimages_boxable_v7,/m/08hvt4
Juice,object,openimages_boxable_v7,/m/01z1kdw
Kangaroo,object,openimages_boxable_v7,/m/04c0y
Kettle,object,openimages_boxable_v7,/m/03s_tn
Kitchen & dining room table,object,openimages_boxable_v7,/m/0h8n5zk
Kitchen appliance,object,openimages_boxable_v7,/m/0h99cwc
Kitchen knife,object,openimages_boxable_v7,/m/058qzx
Kitchen utensil,object,openimages_boxable_v7,/m/03hlz0c
Kitchenware,object,openimages_boxable_v7,/m/03_wxk
Kite,object,openimages_boxable_v7,/m/02zt3
Knife,object,openimages_boxable_v7,/m/04ctx
Koala,object,openimages_boxable_v7,/m/04cp_
Ladder,object,openimages_boxable_v7,/m/012w5l
Ladle,object,openimages_boxable_v7,/m/027rl48
Ladybug,object,openimages_boxable_v7,/m/0gj37
Lamp,object,openimages_boxable_v7,/m/0dtln
Land vehicle,object,openimages_boxable_v7,/m/01prls
Lantern,object,openimages_boxable_v7,/m/01jfsr
Laptop,object,openimages_boxable_v7,/m/01c648
Lavender (Plant),object,openimages_boxable_v7,/m/04gth
Lemon (plant),object,openimages_boxable_v7,/m/09k_b
Leopard,object,openimages_boxable_v7,/m/0c29q
Light bulb,object,openimages_boxable_v7,/m/0h8l4fh
Light switch,object,openimages_boxable_v7,/m/03jbxj
Lighthouse,object,openimages_boxable_v7,/m/04h7h
Lily,object,openimages_boxable_v7,/m/0jqgx
Limousine,object,openimages_boxable_v7,/m/01lcw4
Lion,object,openimages_boxable_v7,/m/096mb
Lipstick,object,openimages_boxable_v7,/m/06c7f7
Lizard,object,openimages_boxable_v7,/m/04m9y
Lobster,object,openimages_boxable_v7,/m/0cjq5
Loveseat,object,openimages_boxable_v7,/m/0703r8
Luggage and bags,object,openimages_boxable_v7,/m/0hf58v5
Lynx,object,openimages_boxable_v7,/m/04g2r
Magpie,object,openimages_boxable_v7,/m/012074
Mammal,object,openimages_boxable_v7,/m/04rky
Man,object,openimages_boxable_v7,/m/04yx4
Mango,object,openimages_boxable_v7,/m/0fldg
Maple,object,openimages_boxable_v7,/m/0cffdh
Maraca,object,openimages_boxable_v7,/m/0xzly
Marine invertebrates,object,openimages_boxable_v7,/m/03hl4l9
Marine mammal,object,openimages_boxable_v7,/m/0gd2v
Measuring cup,object,openimages_boxable_v7,/m/07v9_z
Mechanical fan,object,openimages_boxable_v7,/m/02x984l
Medical equipment,object,openimages_boxable_v7,/m/01xgg_
Microphone,object,openimages_boxable_v7,/m/0hg7b
Microwave oven,object,openimages_boxable_v7,/m/0fx9l
Milk,object,openimages_boxable_v7,/m/04zpv
Miniskirt,object,openimages_boxable_v7,/m/01cmb2
Mirror,object,openimages_boxable_v7,/m/054_l
Missile,object,openimages_boxable_v7,/m/04ylt
Mixer,object,openimages_boxable_v7,/m/063rgb
Mixing bowl,object,openimages_boxable_v7,/m/03hj559
Mobile phone,object,openimages_boxable_v7,/m/050k8
Monkey,object,openimages_boxable_v7,/m/08pbxl
Moths and butterflies,object,openimages_boxable_v7,/m/0d_2m
Motorcycle,object,openimages_boxable_v7,/m/04_sv
Mouse,object,openimages_boxable_v7,/m/04rmv
Muffin,object,openimages_boxable_v7,/m/01tcjp
Mug,object,openimages_boxable_v7,/m/02jvh9
Mule,object,openimages_boxable_v7,/m/0dbzx
Mushroom,object,openimages_boxable_v7,/m/052sf
Musical instrument,object,openimages_boxable_v7,/m/04szw
Musical keyboard,object,openimages_boxable_v7,/m/057cc
Nail (Construction),object,openimages_boxable_v7,/m/05bm6
Necklace,object,openimages_boxable_v7,/m/01llwg
Nightstand,object,openimages_boxable_v7,/m/02z51p
Oboe,object,openimages_boxable_v7,/m/05kms
Office building,object,openimages_boxable_v7,/m/021sj1
Office supplies,object,openimages_boxable_v7,/m/02rdsp
Orange (fruit),object,openimages_boxable_v7,/m/0cyhj_
Organ (Musical Instrument),object,openimages_boxable_v7,/m/013y1f
Ostrich,object,openimages_boxable_v7,/m/05n4y
Otter,object,openimages_boxable_v7,/m/0cn6p
Oven,object,openimages_boxable_v7,/m/029bxz
Owl,object,openimages_boxable_v7,/m/09d5_
Oyster,object,openimages_boxable_v7,/m/0_cp5
Paddle,object,openimages_boxable_v7,/m/014y4n
Palm tree,object,openimages_boxable_v7,/m/0cdl1
Pancake,object,openimages_boxable_v7,/m/01dwwc
Panda,object,openimages_boxable_v7,/m/03bj1
Paper cutter,object,openimages_boxable_v7,/m/080n7g
Paper towel,object,openimages_boxable_v7,/m/02w3r3
Parachute,object,openimages_boxable_v7,/m/0cyfs
Parking meter,object,openimages_boxable_v7,/m/015qbp
Parrot,object,openimages_boxable_v7,/m/0gv1x
Pasta,object,openimages_boxable_v7,/m/05z55
Pastry,object,openimages_boxable_v7,/m/0hnyx
Peach,object,openimages_boxable_v7,/m/0dj6p
Pear,object,openimages_boxable_v7,/m/061_f
Pen,object,openimages_boxable_v7,/m/0k1tl
Pencil case,object,openimages_boxable_v7,/m/05676x
Pencil sharpener,object,openimages_boxable_v7,/m/02ddwp
Penguin,object,openimages_boxable_v7,/m/05z6w
Perfume,object,openimages_boxable_v7,/m/0p833
Person,object,openimages_boxable_v7,/m/01g317
Personal care,object,openimages_boxable_v7,/m/02w3_ws
Personal flotation device,object,openimages_boxable_v7,/m/054xkw
Piano,object,openimages_boxable_v7,/m/05r5c
Picnic basket,object,openimages_boxable_v7,/m/07kng9
Picture frame,object,openimages_boxable_v7,/m/06z37_
Pig,object,openimages_boxable_v7,/m/068zj
Pillow,object,openimages_boxable_v7,/m/034c16
Pineapple,object,openimages_boxable_v7,/m/0fp6w
Pitcher (Container),object,openimages_boxable_v7,/m/054fyh
Pizza,object,openimages_boxable_v7,/m/0663v
Pizza cutter,object,openimages_boxable_v7,/m/08ks85
Plant,object,openimages_boxable_v7,/m/05s2s
Plastic bag,object,openimages_boxable_v7,/m/05gqfk
Plate,object,openimages_boxable_v7,/m/050gv4
Platter,object,openimages_boxable_v7,/m/099ssp
Plumbing fixture,object,openimages_boxable_v7,/m/02pkr5
Polar bear,object,openimages_boxable_v7,/m/0633h
Pomegranate,object,openimages_boxable_v7,/m/0jwn_
Popcorn,object,openimages_boxable_v7,/m/01hrv5
Porch,object,openimages_boxable_v7,/m/04m6gz
Porcupine,object,openimages_boxable_v7,/m/0c568
Poster,object,openimages_boxable_v7,/m/01n5jq
Potato,object,openimages_boxable_v7,/m/05vtc
Power plugs and sockets,object,openimages_boxable_v7,/m/03bbps
Pressure cooker,object,openimages_boxable_v7,/m/0h8ntjv
Pretzel,object,openimages_boxable_v7,/m/01f91_
Printer,object,openimages_boxable_v7,/m/01m4t
Pumpkin,object,openimages_boxable_v7,/m/05zsy
Punching bag,object,openimages_boxable_v7,/m/0420v5
Rabbit,object,openimages_boxable_v7,/m/06mf6
Raccoon,object,openimages_boxable_v7,/m/0dq75
Racket,object,openimages_boxable_v7,/m/0dv9c
Radish,object,openimages_boxable_v7,/m/015x5n
Ratchet (Device),object,openimages_boxable_v7,/m/02bm9n
Raven,object,openimages_boxable_v7,/m/06j2d
Rays and skates,object,openimages_boxable_v7,/m/0m53l
Red panda,object,openimages_boxable_v7,/m/06l9r
Refrigerator,object,openimages_boxable_v7,/m/040b_t
Remote control,object,openimages_boxable_v7,/m/0qjjc
Reptile,object,openimages_boxable_v7,/m/06bt6
Rhinoceros,object,openimages_boxable_v7,/m/03d443
Rifle,object,openimages_boxable_v7,/m/06c54
Ring binder,object,openimages_boxable_v7,/m/04zwwv
Rocket,object,openimages_boxable_v7,/m/09rvcxw
Roller skates,object,openimages_boxable_v7,/m/02p3w7d
Rose,object,openimages_boxable_v7,/m/06m11
Rugby ball,object,openimages_boxable_v7,/m/0wdt60w
Ruler,object,openimages_boxable_v7,/m/0hdln
Salad,object,openimages_boxable_v7,/m/0grw1
Salt and pepper shakers,object,openimages_boxable_v7,/m/02x8cch
Sandal,object,openimages_boxable_v7,/m/03nfch
Sandwich,object,openimages_boxable_v7,/m/0l515
Saucer,object,openimages_boxable_v7,/m/03q5c7
Saxophone,object,openimages_boxable_v7,/m/06ncr
Scale,object,openimages_boxable_v7,/m/03txqz
Scarf,object,openimages_boxable_v7,/m/02h19r
Scissors,object,openimages_boxable_v7,/m/01lsmm
Scoreboard,object,openimages_boxable_v7,/m/057p5t
Scorpion,object,openimages_boxable_v7,/m/0755b
Screwdriver,object,openimages_boxable_v7,/m/01bms0
Sculpture,object,openimages_boxable_v7,/m/06msq
Sea lion,object,openimages_boxable_v7,/m/0gd36
Sea turtle,object,openimages_boxable_v7,/m/0120dh
Seafood,object,openimages_boxable_v7,/m/06nwz
Seahorse,object,openimages_boxable_v7,/m/0nybt
Seat belt,object,openimages_boxable_v7,/m/0dkzw
Segway,object,openimages_boxable_v7,/m/076bq
Serving tray,object,openimages_boxable_v7,/m/0h8n27j
Sewing machine,object,openimages_boxable_v7,/m/0llzx
Shark,object,openimages_boxable_v7,/m/0by6g
Sheep,object,openimages_boxable_v7,/m/07bgp
Shelf,object,openimages_boxable_v7,/m/0gjbg72
Shellfish,object,openimages_boxable_v7,/m/0fbdv
Shirt,object,openimages_boxable_v7,/m/01n4qj
Shorts,object,openimages_boxable_v7,/m/01bfm9
Shotgun,object,openimages_boxable_v7,/m/06nrc
Shower,object,openimages_boxable_v7,/m/02f9f_
Shrimp,object,openimages_boxable_v7,/m/0ll1f78
Sink,object,openimages_boxable_v7,/m/0130jx
Skateboard,object,openimages_boxable_v7,/m/06_fw
Ski,object,openimages_boxable_v7,/m/071p9
Skirt,object,openimages_boxable_v7,/m/02wv6h6
Skull,object,openimages_boxable_v7,/m/016m2d
Skunk,object,openimages_boxable_v7,/m/0km7z
Skyscraper,object,openimages_boxable_v7,/m/079cl
Slow cooker,object,openimages_boxable_v7,/m/02tsc9
Snack,object,openimages_boxable_v7,/m/01ww8y
Snail,object,openimages_boxable_v7,/m/0f9_l
Snake,object,openimages_boxable_v7,/m/078jl
Snowboard,object,openimages_boxable_v7,/m/06__v
Snowman,object,openimages_boxable_v7,/m/0152hh
Snowmobile,object,openimages_boxable_v7,/m/01x3jk
Snowplow,object,openimages_boxable_v7,/m/04vv5k
Soap dispenser,object,openimages_boxable_v7,/m/0c3mkw
Sock,object,openimages_boxable_v7,/m/01nq26
Sofa bed,object,openimages_boxable_v7,/m/03m3pdh
Sombrero,object,openimages_boxable_v7,/m/02jfl0
Sparrow,object,openimages_boxable_v7,/m/0h23m
Spatula,object,openimages_boxable_v7,/m/02d1br
Spice rack,object,openimages_boxable_v7,/m/0h8kx63
Spider,object,openimages_boxable_v7,/m/09kmb
Spoon,object,openimages_boxable_v7,/m/0cmx8
Sports equipment,object,openimages_boxable_v7,/m/05y5lj
Sports uniform,object,openimages_boxable_v7,/m/0h8mhzd
Squash (Plant),object,openimages_boxable_v7,/m/0dv77
Squid,object,openimages_boxable_v7,/m/09gys
Squirrel,object,openimages_boxable_v7,/m/071qp
Stairs,object,openimages_boxable_v7,/m/01lynh
Stapler,object,openimages_boxable_v7,/m/025fsf
Starfish,object,openimages_boxable_v7,/m/01h8tj
Stationary bicycle,object,openimages_boxable_v7,/m/03kt2w
Stethoscope,object,openimages_boxable_v7,/m/073g6
Stool,object,openimages_boxable_v7,/m/0fqt361
Stop sign,object,openimages_boxable_v7,/m/02pv19
Strawberry,object,openimages_boxable_v7,/m/07fbm7
Street light,object,openimages_boxable_v7,/m/033rq4
Stretcher,object,openimages_boxable_v7,/m/02lbcq
Studio couch,object,openimages_boxable_v7,/m/026qbn5
Submarine,object,openimages_boxable_v7,/m/074d1
Submarine sandwich,object,openimages_boxable_v7,/m/06pcq
Suit,object,openimages_boxable_v7,/m/01xyhv
Suitcase,object,openimages_boxable_v7,/m/01s55n
Sun hat,object,openimages_boxable_v7,/m/02wbtzl
Sunglasses,object,openimages_boxable_v7,/m/017ftj
Surfboard,object,openimages_boxable_v7,/m/019w40
Sushi,object,openimages_boxable_v7,/m/07030
Swan,object,openimages_boxable_v7,/m/0dftk
Swim cap,object,openimages_boxable_v7,/m/04tn4x
Swimming pool,object,openimages_boxable_v7,/m/0b_rs
Swimwear,object,openimages_boxable_v7,/m/01gkx_
Sword,object,openimages_boxable_v7,/m/06y5r
Syringe,object,openimages_boxable_v7,/m/012ysf
Table,object,openimages_boxable_v7,/m/04bcr3
Table tennis racket,object,openimages_boxable_v7,/m/05_5p_0
Tablet computer,object,openimages_boxable_v7,/m/0bh9flk
